ID	Molecule_type	LogP	Aromatic_rings	Molecular_weight	H_bond_acceptors	H_bond_donors	Polar_surface_area	Rotatable_bonds	C	F	I	N	O	P	S	T	X	Y	CC	CF	CI	CN	CO	CP	CS	CT	CX	CY	FT	IT	NN	NO	NP	NS	NT	OP	OS	OT	PS	ST	TX	TY	CCC	CCF	CCI	CCN	CCO	CCS	CCT	CCX	CCY	CFT	CIT	CNC	CNN	CNO	CNP	CNS	CNT	COC	CON	COP	COS	COT	CPO	CSC	CSN	CSO	CSP	CST	CXT	CYT	FCF	NCN	NCO	NCS	NCT	NCX	NNN	NOT	NPN	NPS	NSO	OCO	OCP	OCS	OCT	ONO	OPO	OPS	OSO	POT	PST	SCS	SCT	SNT	SOT	SPS	XCX	CCCC	CCCF	CCCI	CCCN	CCCO	CCCS	CCCT	CCCX	CCCY	CCFT	CCIT	CCNC	CCNN	CCNO	CCNP	CCNS	CCNT	CCOC	CCON	CCOS	CCOT	CCSC	CCSN	CCSO	CCSP	CCST	CCXT	CCYT	CNCN	CNCO	CNCS	CNCT	CNCX	CNNC	CNNN	CNOC	CNOT	CNPN	CNPS	CNSC	CNSO	COCN	COCO	COCP	COCS	COCT	COPC	COPO	COPS	COSC	COSO	CPOT	CSCN	CSCO	CSCS	CSCT	CSNT	CSOT	CSPO	CSPS	FCCF	FCCN	FCCO	FCFT	ICCN	ICCO	ICCT	NCCN	NCCO	NCCS	NCCT	NCCX	NCNN	NCNO	NCNS	NCNT	NCON	NCOT	NCSN	NCSO	NCST	NCXT	NNCO	NNCS	NNCT	NNNN	NOCT	NPST	NSCS	NSCT	NSOT	OCCO	OCCS	OCCT	OCCX	OCNO	OCNS	OCNT	OCOP	OCOT	OCPO	ONOT	OPOT	OPST	OSCS	OSCT	OSNT	OSOT	POCT	SCCT	SCCX	SCNS	SCNT	SCOT	SNCT	SPST	TCCX	TCOT	TXCX	XCCX	double_bonds	triple_bonds	number_of_charges	net_charge	number_of_rings
CHEMBL1201300	Contrast-agent	1.52	1	613.91	4	3	95.5	3	11	0	3	2	4	0	0	9	0	0	18	0	6	8	8	0	0	4	0	0	0	6	0	0	0	0	0	0	0	8	0	0	0	0	20	0	12	8	8	0	2	0	0	0	6	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	20	8	12	0	0	0	0	0	12	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
CHEMBL453	Antibacterial	0.92	2	267.3	4	2	106.6	3	11	0	0	3	3	0	1	5	0	0	20	0	0	6	2	0	2	4	0	0	0	0	0	2	0	2	2	0	4	4	0	0	0	0	20	0	0	10	2	4	4	0	0	0	0	0	0	2	0	2	2	0	2	0	0	0	0	0	2	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	16	0	0	12	4	4	6	0	0	0	0	0	0	4	0	2	4	0	2	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
CHEMBL130	Antibacterial	1.03	1	323.13	5	3	115.38	6	11	0	0	2	5	0	0	7	2	0	20	0	0	6	6	0	0	0	4	0	0	0	0	4	0	0	0	0	0	10	0	0	4	0	20	0	0	10	8	0	0	4	0	0	0	2	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	22	0	0	6	8	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	8	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	2	0	1
CHEMBL447	Barbiturate	1.97	0	238.28	3	2	75.27	5	12	0	0	2	3	0	0	6	0	0	20	0	0	8	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	26	0	0	4	4	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	12	12	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1
CHEMBL498	Diabetes drug	2.06	1	276.74	3	2	83.65	4	10	0	0	2	3	0	1	5	1	0	16	0	0	6	2	0	2	2	2	0	0	0	0	0	0	2	0	0	4	6	0	0	2	0	14	0	0	2	0	4	2	4	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	2	4	0	0	2	0	0	2	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	12	0	0	2	0	4	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	8	0	0	4	0	2	2	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
CHEMBL459324	Opiate	1.8	1	369.41	6	0	65.06	4	21	0	0	1	5	0	0	5	0	0	40	0	0	6	16	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	52	0	0	6	24	0	4	0	0	0	0	6	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	8	22	0	0	0	0	0	0	12	0	0	0	0	0	20	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5
CHEMBL12	Benzodiazepine	3.17	2	284.74	2	0	32.67	1	16	0	0	2	1	0	0	3	1	0	30	0	0	10	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	34	0	0	12	2	0	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	14	0	0	0	4	0	0	0	18	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3
CHEMBL1200770	Contrast-agent	2.34	1	613.96	4	2	83.63	4	12	0	3	2	3	0	0	9	0	0	20	0	6	8	6	0	0	4	0	0	0	6	0	0	0	0	2	0	0	6	0	0	0	0	18	0	12	12	6	0	4	0	0	0	6	6	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	12	12	8	0	4	0	0	0	12	16	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
CHEMBL1201243	Contrast-agent	3.19	1	597.96	4	1	52.9	5	12	0	3	2	2	0	0	7	0	0	18	0	6	10	4	0	0	4	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	20	0	12	4	4	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	16	4	4	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
CHEMBL135	Hormone	3.84	1	272.38	2	2	40.46	0	18	0	0	0	2	0	0	3	0	0	42	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	64	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
