"Clase","AP_Train","AP_Validation","Diferencia"
"0",0.999996957670386,0.495164221083368,0.504832736587018
"1",0.999989302705897,0.347468918272423,0.652520384433474
"10",0.999502343805974,0.0317350278478367,0.967767315958137
"11",0.999813042190087,0.719835667311325,0.279977374878762
"5",0.999997839816659,0.253961203370264,0.746036636446395
"7",0.999999155373904,0.896823302834006,0.103175852539899
"mAP",0.999883106927151,0.457498056786537,0.542385050140614
